lines,junegunn,justinmk,linuxiscool,mach2,mattdev,thinkvim,wfxr,count
chrisbra/Colorizer,0,1,0,0,0,0,0,1
itchyny/lightline.vim,0,0,0,0,1,0,0,1
jamessan/vim-gnupg,0,0,0,0,0,0,1,1
jceb/vim-orgmode,0,0,1,0,0,0,0,1
AndrewRadev/dsf.vim,0,0,0,0,0,1,0,1
kovisoft/paredit,1,0,0,0,0,0,0,1
kristijanhusak/defx-git,0,0,0,0,0,1,0,1
kristijanhusak/defx-icons,0,0,0,0,0,1,0,1
kristijanhusak/vim-carbon-now-sh,0,0,0,0,0,0,1,1
kristijanhusak/vim-dadbod-ui,0,0,0,0,0,1,0,1
lambdalisue/suda.vim,0,0,0,0,0,1,0,1
lilydjwg/colorizer,0,0,0,0,1,0,0,1
liuchengxu/vim-clap,0,0,0,0,0,1,0,1
lleixat/vim-minimap,0,0,1,0,0,0,0,1
lotabout/slimux,0,0,1,0,0,0,0,1
machakann/vim-sandwich,0,0,0,0,0,1,0,1
jeetsukumaran/vim-indentwise,0,0,0,0,1,0,0,1
mattn/vim-fixedsearch,0,0,0,0,0,0,1,1
mattn/vim-gist,0,0,0,1,0,0,0,1
mattn/vim-sonictemplate,0,0,0,0,0,1,0,1
mattn/vim-textobj-url,0,0,0,0,0,0,1,1
mattn/vim-xxdcursor,0,0,0,0,0,0,1,1
mattn/webapi-vim,0,0,0,1,0,0,0,1
matze/vim-move,0,0,0,0,0,0,1,1
maxmellon/vim-jsx-pretty,0,0,1,0,0,0,0,1
metakirby5/codi.vim,0,0,0,1,0,0,0,1
mg979/vim-xtabline,0,0,0,1,0,0,0,1
kevinhwang91/rnvimr,0,0,0,1,0,0,0,1
kchmck/vim-coffee-script,1,0,0,0,0,0,0,1
kana/vim-textobj-function,0,0,0,0,0,1,0,1
kana/vim-textobj-entire,0,0,0,0,0,0,1,1
jeffkreeftmeijer/vim-numbertoggle,0,0,1,0,0,0,0,1
jparise/vim-graphql,0,0,1,0,0,0,0,1
junegunn/Limelight.vim,0,0,0,0,0,1,0,1
junegunn/heytmux,1,0,0,0,0,0,0,1
junegunn/rainbow_parentheses.vim,1,0,0,0,0,0,0,1
junegunn/vader.vim,1,0,0,0,0,0,0,1
junegunn/vim-carbon-now-sh,1,0,0,0,0,0,0,1
junegunn/vim-cfr,1,0,0,0,0,0,0,1
junegunn/vim-fnr,1,0,0,0,0,0,0,1
junegunn/vim-journal,1,0,0,0,0,0,0,1
junegunn/vim-pseudocl,1,0,0,0,0,0,0,1
junegunn/vim-xmark,1,0,0,0,0,0,0,1
justinmk/nvim-repl,0,1,0,0,0,0,0,1
justinmk/vim-dirvish,0,1,0,0,0,0,0,1
justinmk/vim-ipmotion,0,1,0,0,0,0,0,1
justinmk/vim-printf,0,1,0,0,0,0,0,1
k-takata/minpac,0,1,0,0,0,0,0,1
kana/vim-niceblock,0,0,0,0,0,1,0,1
kana/vim-operator-replace,0,0,0,0,0,1,0,1
kana/vim-operator-user,0,0,0,0,0,1,0,1
kana/vim-smartchr,0,0,0,0,0,1,0,1
yuttie/hydrangea-vim,1,0,0,0,0,0,0,1
